value;COUNTER
filles;175
prévu;174
dessus;174
jvai;173
mdrrrr;173
jen;173
st;172
peine;171
el;171
cher;171
avance;170
avis;169
plait;169
pauvre;169
???;169
attendre;169
dodo;168
dirai;167
répond;167
numéro;167
marre;166
tomber;166
rire;166
veu;166
appel;165
donné;165
cause;164
sport;164
répondre;163
carte;163
quelques;163
livre;162
noel;162
clair;162
changer;162
nouvelle;161
an;161
direct;160
tjr;160
route;160
est-ce;159
justement;159
bb;158
long;158
travaille;158
stage;158
bizarre;158
soeur;157
votre;157
pourra;157
face;157
souci;156
match;156
kel;155
bn;155
écoute;154
cour;154
okay;154
msg;154
celle;153
réponse;153
étre;153
retrouve;153
nom;152
froid;152
téléphone;151
façon;151
chambre;150
voilou;150
oui^^;150
rapport;150
maths;149
niveau;149
seras;149
facon;148
news;148
douche;148
yes;148
arrivé;148
amis;148
café;148
gueule;147
sort;147
and;147
imagine;147
heureusement;146
laisser;146
20h;145
fete;145
ptit;145
re;144
potes;144
hi;144
manques;143
deg;143
excuse;143
lu;143
beaux;143
libre;143
perdu;143
inquiète;142
jy;142
euros;141
v;141
minutes;141
etc;141
grosse;141
19h;141
chaque;140
e;140
no;140
préfère;140
bientôt;139
jus;139
week-end;139
aucun;139
jpense;138
comprends;138
18h;138
vien;138
tranquille;138
premier;138
sorti;138
aucune;138
mangé;137
in;137
sérieux;137
dirais;136
resto;136
souhaite;136
joyeux;136
pensé;135
aimerais;135
bout;134
eux;134
essaye;134
parfait;134
dès;134
faudrait;133
17h;133
pourras;133
moyen;133
disais;133
partout;133
tjrs;133
profite;133
lycée;132
envoi;132
yeux;132
change;132
mot;132
tro;131
auras;131
font;131
chérie;131
près;131
aille;130
rouge;130
sac;129
tour;129
coucher;129
mode;129
ba;128
mwa;128
adresse;128
raconte;128
importe;128
groupe;127
dont;127
travailler;127
fallait;126
cherche;126
num;126
bein;126
frère;126
bisoux;126
lieu;125
ptdrrr;125
porte;125
doute;125
simple;125
aider;124
ferai;124
effet;124
souvent;124
appelé;123
france;123
sujet;123
devoir;123
rendre;123
jouer;122
kil;122
voulait;122
allait;122
apparemment;122
essaie;121
bin;121
k;121
soiree;121
garde;121
etais;121
ensuite;121
srx;121
amie;121
messages;120
comprendre;120
drole;120
note;120
nouveau;120
repas;120
mignon;120
pourrait;120
fond;119
slt;119
rentré;119
blanc;119
répondu;119
verre;118
trois;118
parles;118
jsais;118
jsai;117
faute;117
it;117
joue;117
pied;117
controle;117
recu;116
hihi;116
semaines;116
questions;116
grande;116
gars;116
content;115
attention;115
allais;115
reviens;114
pq;114
risque;114
pere;114
impression;114
diras;114
vieux;114
devrait;114
ns;113
eau;113
rappelle;113
bar;113
choix;113
allée;113
vaut;112
rentres;112
seulement;112
bu;111
ouf;111
reves;111
ceux;111
lire;110
télé;110
cela;110
rue;110
forme;110
twa;110
love;109
ptite;109
site;109
16h;109
petits;109
top;108
2h;108
chiant;108
sui;108
mdr..;108
exactement;108
chou;108
arret;107
oublier;107
voulu;106
faisait;106
propose;106
philo;106
façons;106
venu;106
poutou;105
confiance;105
plan;105
facile;105
revoir;105
pause;104
1h;104
aide;104
jeu;104
sinn;104
tien;104
moral;104
physique;104
explique;104
commencé;104
ami;103
mince;103
ui;103
bof;103
final;103
lettre;103
sert;103
1er;102
dirait;102
arrives;102
essayé;102
embrasse;102
pro;102
personnes;102
pourrai;102
limite;102
alr;101
irai;101
première;101
faim;101
écrire;101
pose;101
noir;101
souviens;101
ak;101
mets;101
arrivée;100
poulette;100
but;100
ete;100
just;100
15h;100
cheveux;100
acheté;100
fatiguée;100
okey;100
regardé;99
foi;99
10h;99
hé;99
do;99
mi;99
neuf;99
anniv;98
réussi;98
pb;98
dehors;98
miss;98
ok^^;98
vienne;98
haut;98
sortie;98
dérange;97
couple;97
commencer;97
tp;97
is;97
ten;97
plusieurs;97
dira;96
triste;96
cru;96
my;96
impossible;96
femme;96
prise;95
devais;95
voudrais;95
force;95
ferais;95
dedans;94
loool;94
javais;94
écrit;94
retrouver;94
8h;93
adore;93
craint;93
cul;93
jpeux;93
fr;93
laissé;93
tas;92
passes;92
faites;92
envi;92
okok;92
fo;92
dos;92
mieu;92
bsx;91
14h;91
bonnes;91
9h;91
pardon;91
vent;91
journee;91
garder;91
pff;91
13h;91
bras;91
é;90
copain;90
concert;90
rejoint;90
demi;90
ouvert;90
surprise;90
bébé;90
so;90
écris;90
ahah;89
piscine;89
ps;89
rigole;89
hahahaha;89
récupérer;89
prix;89
fer;89
bouge;89
na;89
aha;88
kon;88
bac;88
tente;88
4h;88
croire;88
jean;88
tête;88
partiel;88
pourtant;88
lève;87
cp;87
repose;87
génial;87
ts;87
dépend;87
code;86
vélo;86
papier;86
chat;86
rend;86
ramener;86
dise;86
gentille;85
pleut;85
mtp;85
poser;85
bad;85
falloir;85
devrais;85
of;85
tient;85
devait;85
français;85
amoureux;85
horrible;84
for;84
aimé;84
waii;84
pluie;84
soleil;84
dan;84
important;84
peut-etre;84
absolument;84
mots;83
calme;83
truk;83
derniere;83
bisous:-;83
pe;83
entendu;83
montpel;83
jespere;83
payer;83
croyais;82
pouvais;82
plutôt;82
places;82
projet;82
b;82
dossier;82
musique;82
folle;81
dort;81
habite;81
date;81
roule;81
faux;81
dja;81
cote;81
11h;80
rejoindre;80
dac;80
bordel;80
expliquer;80
êtes;80
viendra;80
réunion;80
amener;80
he;80
monte;79
men;79
jlui;79
hab;79
main;79
table;79
prenne;79
texte;79
ve;79
espagnol;79
jolie;79
promis;79
tarder;78
bisx;78
héhé;78
chui;78
jveux;78
puisse;78
dm;78
vou;78
réveil;77
argent;77
viendrai;77
alor;77
tqt;77
ligne;77
foutre;76
batterie;76
école;76
19h30;76
bonheur;76
lever;76
apprendre;76
vide;76
tombe;76
devoirs;75
ex;75
galère;75
vos;75
idées;75
affaires;75
faisais;75
flemme;75
poste;75
mamie;75
pdt;74
page;74
hate;74
yep;74
colle;74
cou;74
mauvaise;74
meilleur;73
qqch;73
verras;73
12h;73
surtt;73
attendant;73
sai;72
semble;72
today;72
dieu;72
sr;72
jeune;72
paye;72
homme;72
quil;72
entretien;72
geek;72
pleins;72
cuisine;71
not;71
entrainement;71
parait;71
be;71
marrant;71
jspr;71
pti;71
changé;71
habitude;71
repos;71
fous;71
profiter;71
mouais;71
magasin;71
nimes;71
math;71
ça..;70
cé;70
too;70
heureux;70
vivre;70
partiels;70
moitié;70
novembre;70
terre;70
apéro;70
films;70
wai;70
dure;70
carrément;70
tou;70
moche;70
enfaite;70
good;70
jure;70
info;70
tme;70
quon;69
rappeler;69
morte;69
3h;69
marché;69
perdre;69
casse;69
voulez;69
octobre;69
droite;69
contraire;68
couleur;68
ferait;68
tôt;68
programme;68
skype;68
vert;68
td;68
parfois;68
hasard;68
cetais;68
debout;68
jtai;68
chaussures;68
taf;68
are;68
continue;68
parlais;68
voi;68
finit;68
court;68
bois;68
enfants;68
ss;67
don;67
francais;67
lyon;67
chef;67
noël;67
aimes;67
connait;67
ramène;67
sale;67
endroit;67
veulent;67
!!!!!;67
aufaite;67
baby;67
notes;67
sorte;67
suppose;67
alei;67
cmt;67
ti;66
boss;66
stress;66
pleine;66
course;66
perso;66
bureau;66
go;66
debut;66
tn;66
soin;66
yo;66
service;66
prépare;66
horaires;66
relou;66
soule;66
jarrive;65
gagné;65
phone;65
bug;65
doc;65
foot;65
mille;65
énerve;65
ske;65
sent;65
serieux;65
jviens;65
mauvais;65
fils;65
côté;65
voyage;64
liste;64
lequel;64
vieille;64
ptetre;64
ecoute;64
blague;64
bravo;64
environ;64
6h;64
difficile;64
ap;64
pleurer;64
jtm;64
happy;64
rejoins;64
avai;64
21h;64
fatigué;63
essai;63
arrête;63
poule;63
tape;63
derrière;63
raconter;63
mur;63
bouger;63
jaime;63
sommeil;62
occupe;62
arreter;62
tenir;62
monter;62
yen;62
heu;62
réponds;62
ferme;62
oups;62
rendez;62
montre;62
tj;62
annonce;62
puisque;62
cousine;62
ué;62
toulouse;62
exemple;62
recevoir;61
plage;61
payé;61
gagner;61
pain;61
pizza;61
aimerai;61
chanson;61
danse;61
chocolat;60
janvier;60
moyenne;60
corum;60
ventre;60
bis;60
master;60
irais;60
préviens;60
bo;60
arrange;60
pas..;60
base;60
bouffe;60
stop;60
chien;59
mien;59
disait;59
énorme;59
monsieur;59
lol..;59
pui;59
mat;59
permis;59
ci;59
viendrais;59
oral;59
centre;59
ecrit;59
jeux;59
complètement;59
vue;59
reve;59
5min;59
moin;58
trou;58
jc;58
man;58
rentrant;58
crise;58
obligé;58
attendais;58
passerai;58
empeche;58
new;57
gère;57
gosse;57
aaah;57
courir;57
compliqué;57
dir;57
mecs;57
bete;57
poutou:-;57
what;57
jle;57
dmain;57
capte;57
parck;57
pass;57
oo;57
départ;56
petites;56
hésite;56
biisoux;56
pouvait;56
prete;56
rapide;56
demandais;56
max;56
repond;56
su;56
ahh;56
vai;56
lettres;56
voix;56
revenir;56
clé;56
billet;56
oula;56
test;56
signe;56
décembre;56
longue;56
bouteille;55
oooh;55
aie;55
verrais;55
vacs;55
20h30;55
amène;55
croi;55
xp;55
retourne;55
sache;55
mé;54
disent;54
tombé;54
travailles;54
:-d;54
salon;54
achète;54
marcher;54
pourri;54
taille;54
vouloir;54
ait;54
mer;54
passera;54
heureuse;54
iphone;53
uii;53
gaffe;53
coupe;53
cb;53
mise;53
viennent;53
jveu;53
aimer;53
kikou;53
chinois;53
auj;53
proposer;53
saoule;53
pttr;53
mourir;53
malgré;53
nez;52
o_o;52
raté;52
pouvez;52
sang;52
emploi;52
gagne;52
soi;52
prefere;52
tfk;52
bne;52
18h30;52
méchant;52
x3;52
q;52
langue;52
tit;52
exprès;52
peuvent;51
meilleure;51
entendre;51
vivement;51
jalouse;51
naze;51
gauche;51
hyper;51
sourire;51
profs;51
prévenir;51
abord;51
alala;51
venez;51
tuer;51
at;51
fixe;51
doux;51
pensée;51
entrée;50
vive;50
blonde;50
croise;50
frere;50
fiche;50
invité;50
bei;50
passée;50
proposé;50
putin;50
come;50
peut-être;50
leurs;50
dla;50
tai;49
mtsss;49
pffff;49
reprend;49
machine;49
jmen;49
docteur;49
phrase;49
passage;49
couche;49
bye;49
relation;49
cité;49
hors;49
rugby;49
joindre;49
avancer;49
osi;49
posé;49
chimie;49
marseille;49
jcrois;49
repondre;49
livres;49
cadeaux;49
ressemble;48
sva;48
montrer;48
tranquil;48
grace;48
après-midi;48
vidéo;48
rappel;48
apporte;48
cantine;48
svt;48
laver;48
doigts;48
décidé;48
age;48
frais;48
réveillé;48
forcément;48
humeur;48
annee;48
ouh;48
know;48
intéresse;48
choisi;48
forte;47
verrai;47
bons;47
lai;47
chouette;47
derange;47
bleu;47
rapidement;47
minuit;47
style;47
fête;47
jlai;47
hop;47
or;47
coin;46
cable;46
bizz;46
moments;46
prendrai;46
clavier;46
pratique;46
carrefour;46
ho;46
tv;46
chemin;46
touche;46
7h;46
changement;46
invite;46
voie;46
solo;46
mtnt;46
sava;46
priori;46
intéressant;46
pot;46
recup;46
disant;46
méchante;46
certains;46
rendu;46
solution;46
tei;46
étaient;46
vachement;46
amuse;46
version;46
hehe;46
vi;45
amphi;45
selon;45
f;45
aujourdhui;45
5h;45
feuille;45
sentir;45
écouter;45
burger;45
préparer;45
gt;45
appris;45
have;45
double;45
sorry;45
angleterre;45
oui..;45
ouii;45
ouvrir;44
bosses;44
resté;44
saint;44
erreur;44
aaaah;44
mienne;44
inscrire;44
venue;44
pete;44
repondu;44
diner;44
réserve;44
évidemment;44
co;44
17h30;44
espoir;44
chacun;44
mangei;44
pieds;44
10min;44
discuter;44
sieste;44
série;44
continuer;44
tourner;44
mini;44
papiers;44
bg;44
repris;44
lis;44
pages;44
av;44
pc;44
inquiètes;44
sérieuse;44
rentree;44
kwa;43
vera;43
puce;43
suffit;43
22h;43
occasion;43
zut;43
revient;43
refaire;43
mess;43
dix;43
endormir;43
tue;43
trouves;43
fiches;43
mariage;43
alcool;43
seront;43
regard;43
up;43
occuper;43
jaurais;43
cinéma;43
clefs;43
am;43
descend;43
parking;43
pull;43
poulet;43
desole;42
pfou;42
équipe;42
sommes;42
parte;42
marque;42
cassé;42
mc;42
jvoulais;42
forcement;42
reposer;42
taime;42
enfant;42
parlait;42
entend;42
sage;42
manges;42
remet;42
16h30;42
état;42
mémoire;42
big;42
premiere;41
matinée;41
disons;41
ok..;41
ele;41
pret;41
probleme;41
malheureusement;41
non^^;41
queue;41
fout;41
acc;41
12h30;41
comédie;41
esprit;41
ouvre;41
valise;41
saison;41
paul;41
suivre;41
kiff;41
cheval;41
remettre;41
mtn;41
cm;41
connard;41
bouche;41
médecin;41
choisir;41
purre;41
achete;41
oubli;41
taper;41
autour;41
bonsoir;41
qqn;41
mac;41
casser;41
textos;41
reponse;41
ttes;41
levé;41
envois;40
che;40
zappé;40
devient;40
quasi;40
ainsi;40
how;40
sentiments;40
vac;40
ski;40
radio;40
your;40
lien;40
night;40
calin;40
now;40
cherie;40
milieu;40
bruit;40
sûr;40
madame;40
è;40
foutu;40
loupé;40
cheri;40
feu;40
aussi^^;40
nouvel;40
ouverte;40
direction;40
pub;40
nice;40
ouiii;40
intéret;40
juska;40
trompé;40
propos;40
concours;39
port;39
exo;39
orange;39
encor;39
voire;39
entreprise;39
rép;39
formation;39
couché;39
directement;39
deuxième;39
réviser;39
avignon;39
xoxo;39
oeil;39
trajet;39
amba;39
ennuie;39
infos;39
avons;39
numero;39
fière;39
1h30;39
okk;39
kom;39
cke;39
inviter;39
jss;39
14h30;39
recherche;39
arrivera;39
aniv;39
stade;39
vrmt;39
chu;39
minute;39
nikel;38
ty;38
tourne;38
conne;38
alors^^;38
yeah;38
tutorat;38
ramene;38
quoi..;38
lendemain;38
iut;38
mr;38
préfères;38
rassure;38
bain;38
endormi;38
dormais;38
spécial;38
retrouvé;38
mains;38
retourner;38
file;38
allemand;38
demandes;38
fan;38
supporte;38
caisse;38
tcho;38
drôle;38
